level	value	n_samples	misc_param_json
mfd_hab2	Potential pollution	126	[{"has_attribute_label":"pollution risk","has_value_term_label":"potential"}]
mfd_hab2	Tap water	9	[{"has_attribute_label":"sample qualifier","has_value_term_label":"tap water"}]
mfd_hab2	Leachate	2	[{"has_attribute_label":"sample qualifier","has_value_term_label":"leachate"}]
mfd_hab2	High salinity (saltworks)	1	[{"has_attribute_label":"sample qualifier","has_value_term_label":"high salinity"}]
mfd_hab3	Grass, Clover, Rotation	232	[{"has_attribute_label":"crop rotation","has_boolean_value":true}]
mfd_hab3	Maize, Silage	174	[{"has_attribute_label":"crop use","has_value_term_label":"silage"}]
mfd_hab3	Rye, Winter, Hybrid	137	[{"has_attribute_label":"crop variety type","has_value_term_label":"hybrid"}]
mfd_hab3	Grass in rotation, No clover	66	[{"has_attribute_label":"clover present","has_boolean_value":false},{"has_attribute_label":"crop rotation","has_boolean_value":true},{"has_attribute_label":"negation pattern in source","has_value_term_label":"Grass in rotation, No clover"}]
mfd_hab3	Cereal mix, Legume plants	50	[{"has_attribute_label":"sample qualifier","has_value_term_label":"cereal mix"}]
mfd_hab3	Grass for crop, Ryegrass	47	[{"has_attribute_label":"sample qualifier","has_value_term_label":"grass for crop"}]
mfd_hab3	Solanales, Potato, Starch	47	[{"has_attribute_label":"sample qualifier","has_value_term_label":"starch"}]
mfd_hab3	Pollution	46	[{"has_attribute_label":"pollution detected","has_boolean_value":true}]
mfd_hab3	Rainwater basin, Dried	44	[{"has_attribute_label":"sample qualifier","has_value_term_label":"dried"}]
mfd_hab3	Rye, Winter, Hybrid (Triticale)	23	[{"has_attribute_label":"crop variety type","has_value_term_label":"hybrid"}]
mfd_hab3	Uncultivated	22	[{"has_attribute_label":"cultivation status","has_value_term_label":"uncultivated"}]
mfd_hab3	Lake, Hard water	20	[{"has_attribute_label":"sample qualifier","has_value_term_label":"hard water"}]
mfd_hab3	Lake, Dystrophic	18	[{"has_attribute_label":"sample qualifier","has_value_term_label":"dystrophic"}]
mfd_hab3	Catch crop, Fodder radish, Flower	18	[{"has_attribute_label":"sample qualifier","has_value_term_label":"catch crop"},{"has_attribute_label":"sample qualifier","has_value_term_label":"flower"}]
mfd_hab3	Grass for crop	17	[{"has_attribute_label":"sample qualifier","has_value_term_label":"crop"}]
mfd_hab3	Barley, Spring, Green grain	16	[{"has_attribute_label":"sample qualifier","has_value_term_label":"Green grain"}]
mfd_hab3	Below detection limit	15	[{"has_attribute_label":"pollution detected","has_boolean_value":false}]
mfd_hab3	Permanent grass, Normal yield	14	[{"has_attribute_label":"sample qualifier","has_value_term_label":"normal yield"}]
mfd_hab3	Permanent grass, Low yield	12	[{"has_attribute_label":"sample qualifier","has_value_term_label":"low yield"}]
mfd_hab3	No pollution	12	[{"has_attribute_label":"pollution detected","has_boolean_value":false}]
mfd_hab3	Polluted	11	[{"has_attribute_label":"pollution detected","has_boolean_value":true}]
mfd_hab3	Grass for crop, Fescue	10	[{"has_attribute_label":"sample qualifier","has_value_term_label":"crop"},{"has_attribute_label":"sample qualifier","has_value_term_label":"forage"}]
mfd_hab3	Cereal mix, Fodder radish	9	[{"has_attribute_label":"sample qualifier","has_value_term_label":"cereal mix"}]
mfd_hab3	Solanales, Potato, Other	8	[{"has_attribute_label":"sample qualifier","has_value_term_label":"other"}]
mfd_hab3	Oat, Spring, Green grain	8	[{"has_attribute_label":"sample qualifier","has_value_term_label":"Green grain"}]
mfd_hab3	Solanales, Potato, Seed	7	[{"has_attribute_label":"sample qualifier","has_value_term_label":"seed"}]
mfd_hab3	Summer mowing	7	[{"has_attribute_label":"management practice","has_value_term_label":"mowing"},{"has_attribute_label":"management season","has_value_term_id":"NCIT:C94732","has_value_term_label":"summer"}]
mfd_hab3	Uncleaned/raw water	5	[{"has_attribute_label":"sample qualifier","has_value_term_label":"uncleaned/raw water"}]
mfd_hab3	Permanent grass, No clover	5	[{"has_attribute_label":"clover present","has_boolean_value":false},{"has_attribute_label":"negation pattern in source","has_value_term_label":"Permanent grass, No clover"}]
mfd_hab3	Lake, Oligotrophic isoetid	4	[{"has_attribute_label":"sample qualifier","has_value_term_label":"oligotrophic"}]
mfd_hab3	Treated water	4	[{"has_attribute_label":"sample qualifier","has_value_term_label":"treated water"}]
mfd_hab3	Grass for crop, Common meadow-grass	4	[{"has_attribute_label":"sample qualifier","has_value_term_label":"crop"},{"has_attribute_label":"sample qualifier","has_value_term_label":"grass"}]
mfd_hab3	Wheat, Winter, Green Grain	4	[{"has_attribute_label":"sample qualifier","has_value_term_label":"Green Grain"}]
mfd_hab3	Trace pollution	4	[{"has_attribute_label":"pollution detected","has_boolean_value":true},{"has_attribute_label":"pollution level","has_value_term_label":"trace"}]
mfd_hab3	Potential pollution	3	[{"has_attribute_label":"pollution risk","has_value_term_label":"potential"}]
mfd_hab3	Unknown cereal	3	[{"has_attribute_label":"sample qualifier","has_value_term_label":"unknown cereal"}]
mfd_hab3	Grass in rotation	3	[{"has_attribute_label":"crop rotation","has_boolean_value":true}]
mfd_hab3	Legume mix	2	[{"has_attribute_label":"sample qualifier","has_value_term_label":"legume mix"}]
mfd_hab3	Rye, Spring, Green grain	2	[{"has_attribute_label":"sample qualifier","has_value_term_label":"green grain"}]
mfd_hab3	Grass, Clover Permanent	2	[{"has_attribute_label":"crop rotation","has_boolean_value":false}]
mfd_hab3	Wheat, Spring, Green grain	2	[{"has_attribute_label":"sample qualifier","has_value_term_label":"Green grain"}]
mfd_hab3	Mineral-rich springs and springfens (not Fennoscandia)	2	[{"has_attribute_label":"negation pattern in source","has_value_term_label":"Mineral-rich springs and springfens (not Fennoscandia)"}]
mfd_hab3	Enclosed water, Dried	1	[{"has_attribute_label":"sample qualifier","has_value_term_label":"dried"}]
mfd_hab3	Grass for crop, Cocksfoot	1	[{"has_attribute_label":"sample qualifier","has_value_term_label":"crop grass"}]
mfd_hab3	Cereal mix, Mustard	1	[{"has_attribute_label":"sample qualifier","has_value_term_label":"cereal mix"}]
mfd_hab3	Spring mowing	1	[{"has_attribute_label":"management practice","has_value_term_label":"mowing"},{"has_attribute_label":"management season","has_value_term_id":"NCIT:C94731","has_value_term_label":"spring"}]
mfd_hab3	Atlantic salt meadows	122	[{"has_attribute_label":"geographic context","has_value_term_label":"Atlantic coast"}]
mfd_hab3	Vegetated sea cliffs of the Atlantic and Baltic Coasts	26	[{"has_attribute_label":"geographic context","has_value_term_label":"Atlantic coast"},{"has_attribute_label":"geographic context","has_value_term_label":"Baltic coast"}]
mfd_hab3	Mineral-rich springs and springfens (not Fennoscandia)	2	[{"has_attribute_label":"geographic exclusion","has_value_term_label":"not Fennoscandia"}]
mfd_hab3	Rainwater basin, City	382	[{"has_attribute_label":"urban context","has_value_term_label":"city"}]
